text
"Worker fell from scaffolding while welding, resulting in burns. Jordan Murray from the Facilities department was involved. Burn from hot welding equipment On 22 November 2024 at 05:05, an incident occurred at Fleet Garage. The incident was reported by Spencer Lee."
"Chris Lee from the Quality Assurance department was involved. On 28 January 2024 at 12:11, an incident occurred at Paint Shop. The incident was reported by Emerson Sullivan. Worker nearly stepped into an open hatch but avoided injury."
"toxic fumes was discovered before harm occurred. Rowan Clark from the Legal department was involved. On 11 May 2025 at 11:15, an incident occurred at Dockyard South. The incident was reported by Emerson Sullivan."
"On 18 November 2024 at 03:40, an incident occurred at Shipyard Pier. The incident was reported by Emerson Kennedy. Worker nearly touched live wiring but avoided injury. Avery Pearson from the Facilities department was involved."
"Unsecured toolbox almost fell from ship deck. The incident was reported by Finley Kennedy. On 06 April 2025 at 16:15, an incident occurred at Shipyard Pier. Riley Foster from the Dockyard Operations department was involved."
"On 13 December 2024 at 13:38, an incident occurred at Dry Dock 2. Morgan Holmes from the Logistics department was involved. The incident was reported by Kai Clark. Worker nearly slipped on an oily surface but avoided injury."
"The incident was reported by Jamie Bailey. On 02 October 2024 at 04:35, an incident occurred at Reception Area. Worker nearly stepped into an open hatch but avoided injury. Emerson Clark from the Research & Development department was involved."
"On 10 August 2025 at 04:57, an incident occurred at Training Room. The incident was reported by Reese Holmes. Taylor Kennedy from the Security department was involved. Worker nearly touched live wiring but avoided injury."
"asbestos was discovered before harm occurred. The incident was reported by Kai Clark. On 25 August 2025 at 14:38, an incident occurred at Training Room. Elliot Hughes from the Facilities department was involved."
"On 02 April 2025 at 23:44, an incident occurred at Paint Shop. The incident was reported by Jamie Pearson. Harper Sullivan from the Engineering department was involved. Worker nearly slipped on an oily surface but avoided injury."
"The incident was reported by Rowan Payne. On 15 August 2025 at 06:13, an incident occurred at Maintenance Shed. Jesse Graham from the Training & Development department was involved. Worker nearly slipped on an oily surface but avoided injury."
"The incident was reported by Alex Kennedy. On 26 May 2025 at 13:56, an incident occurred at Shipyard Pier. Peyton Davis from the IT department was involved. Worker nearly stepped into an open hatch but avoided injury."
"The incident was reported by Elliot Clark. Worker nearly stepped into an open hatch but avoided injury. Finley Murphy from the Operations department was involved. On 25 April 2025 at 21:52, an incident occurred at Dockyard South."
"Unsecured pipe almost fell from scaffolding. On 23 May 2024 at 00:38, an incident occurred at Warehouse A. Elliot Morgan from the Research & Development department was involved. The incident was reported by Sydney Lee."
"The incident was reported by Harper Fisher. On 19 February 2025 at 10:45, an incident occurred at Shipyard Pier. Kai Lee from the Health & Safety department was involved. asbestos was discovered before harm occurred."
"On 17 May 2024 at 08:37, an incident occurred at Dockyard South. Avery Johnson from the Logistics department was involved. Unsecured ladder almost fell from ship deck. The incident was reported by Chris Cooper."
"Paint crew followed PPE guidelines without violations. The incident was reported by Reese Holmes. On 26 April 2025 at 22:34, an incident occurred at Dockyard South. Jordan Walker from the Engineering department was involved."
"Negative: blocked emergency exit was observed but not corrected. Riley Kennedy from the Quality Assurance department was involved. On 02 August 2025 at 06:15, an incident occurred at Cafeteria. The incident was reported by Casey Hughes."
"On 23 May 2025 at 09:33, an incident occurred at Shipyard Pier. Paint crew followed lockout/tagout without violations. The incident was reported by Reese Fisher. Avery Bennett from the Operations department was involved."
"Negative: missing guardrails was observed but not corrected. The incident was reported by Drew West. On 05 March 2025 at 20:25, an incident occurred at Warehouse B. Elliot Payne from the Training & Development department was involved."
"The incident was reported by Harper Pearson. Negative: missing guardrails was observed but not corrected. Elliot West from the Facilities department was involved. On 10 September 2024 at 19:16, an incident occurred at Engineering Workshop."
"On 26 June 2024 at 21:25, an incident occurred at Dockyard South. The incident was reported by Sawyer Kennedy. Jesse Bennett from the Procurement department was involved. Scaffolders followed confined space entry without violations."
"On 14 October 2024 at 11:36, an incident occurred at Shipyard Pier. All grinder was used correctly during repairing the hull. The incident was reported by Skyler Sullivan. Avery Smith from the Research & Development department was involved."
"Peyton Graham from the HR department was involved. On 29 June 2024 at 07:22, an incident occurred at Paint Shop. The incident was reported by Elliot Clark. All grinder was used correctly during painting."
"The incident was reported by Rowan Graham. On 30 December 2024 at 13:37, an incident occurred at Paint Shop. Paint crew followed lockout/tagout without violations. Sawyer Fisher from the Quality Assurance department was involved."
"On 25 January 2024 at 16:20, an incident occurred at Dry Dock 2. Jordan Smith from the Ship Maintenance department was involved. The incident was reported by Chris Allen. Negative: blocked emergency exit was observed but not corrected."
"On 22 July 2025 at 07:45, an incident occurred at Cafeteria. All crane was used correctly during repairing the hull. Sawyer Graham from the Procurement department was involved. The incident was reported by Rowan Brown."
"Sydney Allen from the Operations department was involved. On 19 January 2025 at 19:01, an incident occurred at Main Gate Security. All forklift was used correctly during painting. The incident was reported by Avery Smith."
"Frankie Kennedy from the Logistics department was involved. On 06 March 2025 at 16:09, an incident occurred at Cafeteria. The incident was reported by Sawyer Mitchell. All grinder was used correctly during welding."
"Quinn Walker from the Procurement department was involved. On 12 August 2025 at 05:36, an incident occurred at Main Gate Security. Welding team followed lockout/tagout without violations. The incident was reported by Cameron Murphy."
"On 25 November 2024 at 14:40, an incident occurred at Dockyard North. Charlie West from the Finance department was involved. All forklift was used correctly during painting. The incident was reported by Avery Sullivan."
"The incident was reported by Jordan Graham. Chris Kennedy from the HR department was involved. On 17 November 2024 at 09:20, an incident occurred at Cafeteria. Welding team followed confined space entry without violations."
"Casey Mitchell from the Fleet Management department was involved. All crane was used correctly during painting. On 19 January 2025 at 08:38, an incident occurred at Maintenance Shed. The incident was reported by Kai Morgan."
"Negative: blocked emergency exit was observed but not corrected. On 14 December 2024 at 13:02, an incident occurred at Fleet Garage. Morgan Fisher from the Warehouse department was involved. The incident was reported by Logan Payne."
"On 07 August 2025 at 04:21, an incident occurred at Reception Area. Negative: missing guardrails was observed but not corrected. The incident was reported by Taylor Brown. Dakota Foster from the Engineering department was involved."
"On 07 January 2025 at 00:30, an incident occurred at Maintenance Shed. The incident was reported by Sawyer Clark. All grinder was used correctly during welding. Logan Ward from the Health & Safety department was involved."
"Reese Murray from the Logistics department was involved. Negative: untidy cables was observed but not corrected. On 23 March 2025 at 18:12, an incident occurred at Dry Dock 2. The incident was reported by Taylor Holmes."
"All crane was used correctly during repairing the hull. On 07 August 2025 at 22:51, an incident occurred at Paint Shop. The incident was reported by Emerson Fisher. Harper Allen from the Logistics department was involved."
"Jesse Cooper from the Finance department was involved. The incident was reported by Jordan Payne. Paint crew followed PPE guidelines without violations. On 18 May 2024 at 16:01, an incident occurred at Tool Crib."
"Taylor Payne from the Health & Safety department was involved. On 15 January 2024 at 05:31, an incident occurred at Maintenance Shed. The incident was reported by Sydney Foster. All forklift was used correctly during welding."
"Scaffolders followed confined space entry without violations. Reese Clark from the Operations department was involved. The incident was reported by Frankie Fisher. On 27 July 2025 at 20:29, an incident occurred at Dockyard South."
"Logan Kennedy from the Communications department was involved. The incident was reported by Harper Murray. On 29 May 2025 at 03:20, an incident occurred at Engineering Workshop. Negative: missing guardrails was observed but not corrected."
"On 26 February 2025 at 11:27, an incident occurred at Warehouse A. Casey Sullivan from the Environmental Services department was involved. The incident was reported by Quinn Holmes. Negative: blocked emergency exit was observed but not corrected."
"On 09 September 2024 at 00:16, an incident occurred at Maintenance Shed. The incident was reported by Avery Reed. All grinder was used correctly during welding. Logan Hughes from the Training & Development department was involved."
"The incident was reported by Harper Lee. On 17 December 2024 at 07:26, an incident occurred at Shipyard Pier. Paint crew followed confined space entry without violations. Jordan Allen from the Warehouse department was involved."
"On 07 September 2024 at 09:48, an incident occurred at Warehouse A. The incident was reported by Alex Robinson. Negative: blocked emergency exit was observed but not corrected. Peyton Payne from the Fleet Management department was involved."
"The incident was reported by Taylor Graham. On 05 March 2024 at 02:20, an incident occurred at Dry Dock 2. Casey Holmes from the Security department was involved. All crane was used correctly during welding."
"On 06 April 2024 at 17:30, an incident occurred at Fuel Depot. Blake Robinson from the Security department was involved. Negative: blocked emergency exit was observed but not corrected. The incident was reported by Blake Davis."
"Scaffolders followed confined space entry without violations. The incident was reported by Reese Pearson. Quinn Bailey from the Communications department was involved. On 12 September 2024 at 19:59, an incident occurred at Office - Admin Block."
"The incident was reported by Skyler Johnson. Scaffolders followed confined space entry without violations. On 24 July 2025 at 12:00, an incident occurred at Paint Shop. Jamie Reed from the Health & Safety department was involved."
"On 17 February 2024 at 16:12, an incident occurred at Fuel Depot. Peyton Sullivan from the Facilities department was involved. All crane was used correctly during repairing the hull. The incident was reported by Jesse Murphy."
"Charlie Walker from the Procurement department was involved. Negative: blocked emergency exit was observed but not corrected. On 01 September 2024 at 00:45, an incident occurred at Dry Dock 2. The incident was reported by Logan Holmes."
"Welding team followed lockout/tagout without violations. On 15 January 2024 at 02:08, an incident occurred at Dockyard South. The incident was reported by Sawyer Morgan. Drew Lewis from the Research & Development department was involved."
"Negative: untidy cables was observed but not corrected. Harper Cooper from the Fleet Management department was involved. On 07 November 2024 at 13:36, an incident occurred at Shipyard Pier. The incident was reported by Spencer Murray."
"On 26 August 2025 at 07:44, an incident occurred at Shipyard Pier. The incident was reported by Skyler Murphy. Taylor Ward from the Environmental Services department was involved. Paint crew followed confined space entry without violations."
"Peyton Lee from the Finance department was involved. Negative: blocked emergency exit was observed but not corrected. On 05 July 2024 at 09:51, an incident occurred at Electrical Bay. The incident was reported by Finley Murphy."
"The incident was reported by Quinn Murray. On 31 July 2025 at 15:54, an incident occurred at Paint Shop. Paint crew followed PPE guidelines without violations. Chris Mitchell from the Dockyard Operations department was involved."
"Negative: untidy cables was observed but not corrected. Chris Bennett from the Training & Development department was involved. The incident was reported by Quinn West. On 13 August 2025 at 21:33, an incident occurred at Dockyard North."
"On 13 May 2024 at 01:15, an incident occurred at Training Room. All grinder was used correctly during repairing the hull. The incident was reported by Elliot Lee. Drew Ward from the Training & Development department was involved."
"On 16 July 2024 at 10:32, an incident occurred at Main Gate Security. Negative: blocked emergency exit was observed but not corrected. The incident was reported by Morgan Cooper. Casey Bailey from the Environmental Services department was involved."
"The incident was reported by Charlie Graham. Negative: blocked emergency exit was observed but not corrected. Sawyer Walker from the Ship Maintenance department was involved. On 04 January 2025 at 09:23, an incident occurred at IT Server Room."
"Welding team followed PPE guidelines without violations. The incident was reported by Taylor Allen. On 28 March 2024 at 07:38, an incident occurred at IT Server Room. Harper Bennett from the Facilities department was involved."
"The incident was reported by Chris Brown. On 29 March 2024 at 23:10, an incident occurred at Warehouse B. Riley Foster from the Security department was involved. All forklift was used correctly during repairing the hull."
"On 06 February 2024 at 06:24, an incident occurred at Warehouse B. Paint crew followed confined space entry without violations. Rowan Brown from the Logistics department was involved. The incident was reported by Skyler Hughes."
"Jamie Murray from the Procurement department was involved. The incident was reported by Skyler Reed. All crane was used correctly during repairing the hull. On 18 February 2024 at 19:44, an incident occurred at Electrical Bay."
"Reese Ward from the Finance department was involved. Negative: untidy cables was observed but not corrected. The incident was reported by Kai Murray. On 12 April 2024 at 22:15, an incident occurred at Dockyard North."
"On 21 March 2024 at 00:40, an incident occurred at Fuel Depot. The incident was reported by Sydney Reed. All grinder was used correctly during repairing the hull. Spencer Murray from the Finance department was involved."
"The incident was reported by Sawyer Payne. On 30 December 2024 at 22:28, an incident occurred at Dockyard South. Cameron Brown from the Logistics department was involved. Scaffolders followed confined space entry without violations."
"Harper Robinson from the Communications department was involved. On 10 July 2024 at 22:23, an incident occurred at Main Gate Security. All crane was used correctly during welding. The incident was reported by Jamie Sullivan."
"On 15 October 2024 at 05:53, an incident occurred at Training Room. The incident was reported by Emerson Hughes. Drew Graham from the Security department was involved. All forklift was used correctly during welding."
"On 19 March 2025 at 11:13, an incident occurred at IT Server Room. The incident was reported by Rowan Reed. Logan Robinson from the Fleet Management department was involved. All crane was used correctly during repairing the hull."
"The incident was reported by Frankie Morgan. Jordan Davis from the Operations department was involved. On 03 January 2024 at 01:19, an incident occurred at Paint Shop. Negative: blocked emergency exit was observed but not corrected."
"Negative: untidy cables was observed but not corrected. The incident was reported by Harper Pearson. On 21 January 2024 at 08:50, an incident occurred at Tool Crib. Jamie Kennedy from the Logistics department was involved."
"The incident was reported by Frankie Fisher. On 04 February 2024 at 21:37, an incident occurred at IT Server Room. Welding team followed confined space entry without violations. Charlie West from the Fleet Management department was involved."
"On 23 October 2024 at 00:43, an incident occurred at Dry Dock 1. The incident was reported by Casey Davis. Scaffolders followed PPE guidelines without violations. Sydney Bailey from the Communications department was involved."
"Jesse Bennett from the Procurement department was involved. The incident was reported by Dakota Graham. On 03 February 2024 at 07:43, an incident occurred at Warehouse B. Scaffolders followed lockout/tagout without violations."
"On 21 January 2024 at 01:07, an incident occurred at Shipyard Pier. All forklift was used correctly during welding. The incident was reported by Sydney Murphy. Emerson Graham from the Security department was involved."
"Negative: untidy cables was observed but not corrected. Spencer Davis from the Dockyard Operations department was involved. On 20 June 2024 at 22:19, an incident occurred at Cafeteria. The incident was reported by Alex Sullivan."
"The incident was reported by Rowan Graham. On 30 January 2024 at 22:07, an incident occurred at Training Room. Blake Payne from the Security department was involved. Negative: untidy cables was observed but not corrected."
"On 04 February 2024 at 17:24, an incident occurred at IT Server Room. The incident was reported by Riley Brown. Spencer Graham from the Dockyard Operations department was involved. Welding team followed confined space entry without violations."
"All forklift was used correctly during painting. On 04 October 2024 at 02:58, an incident occurred at Warehouse A. The incident was reported by Logan Allen. Cameron Lewis from the HR department was involved."
"Logan Foster from the Procurement department was involved. The incident was reported by Quinn Pearson. Paint crew followed confined space entry without violations. On 13 April 2024 at 15:50, an incident occurred at Main Gate Security."
"On 14 February 2025 at 11:49, an incident occurred at Fleet Garage. Negative: missing guardrails was observed but not corrected. Jesse Morgan from the Warehouse department was involved. The incident was reported by Harper Cooper."
"The incident was reported by Spencer Davis. Negative: missing guardrails was observed but not corrected. Charlie Kennedy from the Logistics department was involved. On 19 February 2025 at 15:44, an incident occurred at Shipyard Pier."
"Peyton Pearson from the Security department was involved. The incident was reported by Chris Mitchell. All forklift was used correctly during welding. On 02 January 2024 at 18:53, an incident occurred at Warehouse A."
"On 30 May 2025 at 03:57, an incident occurred at Paint Shop. The incident was reported by Chris Pearson. Welding team followed PPE guidelines without violations. Quinn Lee from the Customer Service department was involved."
"On 06 January 2025 at 06:03, an incident occurred at Paint Shop. The incident was reported by Logan Smith. Negative: untidy cables was observed but not corrected. Casey Mitchell from the HR department was involved."
"Dakota Clark from the Dockyard Operations department was involved. On 21 April 2025 at 12:27, an incident occurred at Paint Shop. The incident was reported by Harper Holmes. Negative: missing guardrails was observed but not corrected."
"Kai Morgan from the Health & Safety department was involved. On 25 May 2024 at 14:17, an incident occurred at Warehouse B. The incident was reported by Avery Robinson. Welding team followed lockout/tagout without violations."
"On 28 July 2025 at 14:08, an incident occurred at Training Room. Welding team followed confined space entry without violations. Skyler Bailey from the Security department was involved. The incident was reported by Emerson Davis."
"The incident was reported by Alex Payne. All crane was used correctly during welding. Skyler Fisher from the Warehouse department was involved. On 13 September 2025 at 16:07, an incident occurred at Dockyard South."
"Harper West from the Finance department was involved. The incident was reported by Cameron Kennedy. Negative: missing guardrails was observed but not corrected. On 09 November 2024 at 18:37, an incident occurred at IT Server Room."
"Taylor Payne from the Dockyard Operations department was involved. The incident was reported by Jesse Clark. Negative: blocked emergency exit was observed but not corrected. On 15 March 2025 at 00:53, an incident occurred at IT Server Room."
"All forklift was used correctly during repairing the hull. On 04 January 2025 at 03:55, an incident occurred at Dry Dock 1. The incident was reported by Harper Sullivan. Kai Robinson from the Customer Service department was involved."
"Riley Johnson from the Facilities department was involved. All forklift was used correctly during welding. The incident was reported by Finley Murphy. On 04 October 2024 at 16:32, an incident occurred at Fuel Depot."
"Jordan Robinson from the Research & Development department was involved. The incident was reported by Kai Pearson. On 10 January 2025 at 07:27, an incident occurred at Maintenance Shed. Paint crew followed lockout/tagout without violations."
"The incident was reported by Emerson Reed. Scaffolders followed confined space entry without violations. On 28 February 2025 at 13:41, an incident occurred at Dry Dock 1. Quinn Lee from the Quality Assurance department was involved."
"Drew Morgan from the Logistics department was involved. On 29 May 2025 at 11:39, an incident occurred at Training Room. The incident was reported by Casey Reed. Paint crew followed confined space entry without violations."
"On 20 February 2025 at 10:23, an incident occurred at Reception Area. All crane was used correctly during repairing the hull. The incident was reported by Riley West. Dakota Allen from the Quality Assurance department was involved."
"The incident was reported by Spencer Johnson. Jesse Graham from the Quality Assurance department was involved. On 12 November 2024 at 15:17, an incident occurred at Main Gate Security. Paint crew followed lockout/tagout without violations."
"Welding team followed PPE guidelines without violations. On 12 September 2025 at 09:40, an incident occurred at Fleet Garage. Casey Cooper from the Research & Development department was involved. The incident was reported by Logan Foster."
"Reese Allen from the Fleet Management department was involved. The incident was reported by Casey Johnson. On 30 March 2024 at 09:37, an incident occurred at Main Gate Security. Negative: missing guardrails was observed but not corrected."
"Paint crew followed lockout/tagout without violations. The incident was reported by Finley Murphy. On 10 August 2025 at 23:32, an incident occurred at Fuel Depot. Cameron Cooper from the Facilities department was involved."
"Spencer Fisher from the Engineering department was involved. Scaffolders followed lockout/tagout without violations. On 01 May 2024 at 21:57, an incident occurred at Engineering Workshop. The incident was reported by Jordan Morgan."
"On 31 December 2024 at 16:53, an incident occurred at Warehouse A. Rowan Lewis from the Ship Maintenance department was involved. The incident was reported by Casey Allen. Scaffolders followed lockout/tagout without violations."
"All crane was used correctly during welding. The incident was reported by Spencer Walker. On 01 August 2025 at 09:00, an incident occurred at Maintenance Shed. Rowan Clark from the Engineering department was involved."
"The incident was reported by Morgan Cooper. Scaffolders followed lockout/tagout without violations. Reese Foster from the Security department was involved. On 09 February 2025 at 21:25, an incident occurred at Tool Crib."
"Charlie Sullivan from the Training & Development department was involved. On 29 September 2024 at 08:19, an incident occurred at Electrical Bay. The incident was reported by Sydney Bailey. All grinder was used correctly during repairing the hull."
"On 09 August 2024 at 23:08, an incident occurred at Warehouse A. The incident was reported by Spencer Parker. Jesse Holmes from the Ship Maintenance department was involved. Scaffolders followed confined space entry without violations."
"On 17 October 2024 at 05:15, an incident occurred at Cafeteria. All crane was used correctly during painting. The incident was reported by Quinn Sullivan. Casey Mitchell from the IT department was involved."
"Welding team followed PPE guidelines without violations. The incident was reported by Riley Lewis. On 02 February 2025 at 23:15, an incident occurred at Warehouse A. Kai Fisher from the Communications department was involved."
"On 21 January 2024 at 03:06, an incident occurred at Dockyard South. The incident was reported by Chris Walker. Welding team followed PPE guidelines without violations. Jordan Sullivan from the IT department was involved."
"The incident was reported by Charlie Ward. On 13 October 2024 at 01:22, an incident occurred at Maintenance Shed. Cameron Payne from the Finance department was involved. Paint crew followed confined space entry without violations."
"Negative: blocked emergency exit was observed but not corrected. On 01 May 2025 at 16:09, an incident occurred at IT Server Room. Morgan Morgan from the Ship Maintenance department was involved. The incident was reported by Sawyer Pearson."
"Welding team followed PPE guidelines without violations. On 15 March 2024 at 07:18, an incident occurred at Training Room. Morgan Robinson from the Procurement department was involved. The incident was reported by Chris Murray."
"Scaffolders followed lockout/tagout without violations. The incident was reported by Kai Holmes. Jesse Holmes from the Quality Assurance department was involved. On 11 January 2024 at 09:32, an incident occurred at Dry Dock 1."
"The incident was reported by Drew West. On 14 September 2024 at 00:51, an incident occurred at Electrical Bay. Alex Reed from the Legal department was involved. Negative: missing guardrails was observed but not corrected."
"On 21 September 2024 at 11:54, an incident occurred at Electrical Bay. Negative: untidy cables was observed but not corrected. Finley Smith from the Security department was involved. The incident was reported by Jordan Sullivan."
"The incident was reported by Casey Ward. Logan Sullivan from the Dockyard Operations department was involved. Paint crew followed confined space entry without violations. On 22 November 2024 at 22:56, an incident occurred at Training Room."
"Spencer Bailey from the HR department was involved. The incident was reported by Dakota Smith. On 16 June 2025 at 15:58, an incident occurred at Engineering Workshop. Negative: blocked emergency exit was observed but not corrected."
"The incident was reported by Casey Bailey. Blake Lee from the HR department was involved. On 02 January 2024 at 17:28, an incident occurred at Warehouse A. Scaffolders followed confined space entry without violations."
"Scaffolders followed PPE guidelines without violations. On 18 May 2025 at 07:26, an incident occurred at Tool Crib. The incident was reported by Kai Kennedy. Reese Bennett from the Logistics department was involved."
"Negative: blocked emergency exit was observed but not corrected. The incident was reported by Avery Davis. On 18 May 2025 at 06:26, an incident occurred at Main Gate Security. Harper Cooper from the Communications department was involved."
"The incident was reported by Emerson Foster. Negative: blocked emergency exit was observed but not corrected. Sawyer Ward from the Quality Assurance department was involved. On 07 November 2024 at 07:29, an incident occurred at Shipyard Pier."
"On 10 May 2025 at 19:22, an incident occurred at Warehouse A. Peyton Bennett from the Customer Service department was involved. The incident was reported by Avery Holmes. Negative: missing guardrails was observed but not corrected."
"Negative: untidy cables was observed but not corrected. On 02 April 2024 at 00:08, an incident occurred at Fuel Depot. The incident was reported by Elliot Clark. Skyler Cooper from the Quality Assurance department was involved."
"On 15 March 2025 at 18:25, an incident occurred at Main Gate Security. The incident was reported by Reese Murray. Negative: missing guardrails was observed but not corrected. Logan Parker from the Fleet Management department was involved."
"Drew Lee from the Communications department was involved. The incident was reported by Elliot Allen. All forklift was used correctly during painting. On 29 September 2024 at 19:35, an incident occurred at Tool Crib."
"All forklift was used correctly during welding. On 05 August 2025 at 02:15, an incident occurred at Engineering Workshop. Chris Sullivan from the Logistics department was involved. The incident was reported by Chris Hughes."
"On 31 January 2024 at 20:55, an incident occurred at Dockyard North. Sawyer Walker from the Health & Safety department was involved. The incident was reported by Emerson Smith. Welding team followed PPE guidelines without violations."
"Harper Smith from the Engineering department was involved. Welding team followed lockout/tagout without violations. On 02 June 2025 at 00:32, an incident occurred at Dockyard North. The incident was reported by Reese Lee."
"The incident was reported by Spencer Allen. Welding team followed confined space entry without violations. Dakota Clark from the Finance department was involved. On 10 October 2024 at 14:38, an incident occurred at Warehouse B."
"Negative: untidy cables was observed but not corrected. On 01 June 2025 at 19:48, an incident occurred at Training Room. Alex Lewis from the Security department was involved. The incident was reported by Quinn Holmes."
"All crane was used correctly during welding. On 13 September 2024 at 04:35, an incident occurred at Maintenance Shed. Sawyer Ward from the Customer Service department was involved. The incident was reported by Casey Clark."
"On 10 December 2024 at 04:16, an incident occurred at Dockyard South. Charlie Reed from the HR department was involved. The incident was reported by Cameron Lee. Welding team followed confined space entry without violations."
"Blake Brown from the Dockyard Operations department was involved. The incident was reported by Sydney Clark. All grinder was used correctly during repairing the hull. On 16 August 2025 at 15:50, an incident occurred at IT Server Room."
"Blake Murphy from the Customer Service department was involved. On 11 May 2025 at 08:53, an incident occurred at Reception Area. Paint crew followed lockout/tagout without violations. The incident was reported by Frankie Foster."
"Frankie Kennedy from the IT department was involved. On 30 June 2024 at 07:44, an incident occurred at Dry Dock 1. The incident was reported by Jamie West. All crane was used correctly during painting."
"Quinn Pearson from the Research & Development department was involved. The incident was reported by Jamie Ward. On 06 November 2024 at 13:08, an incident occurred at IT Server Room. All crane was used correctly during welding."
"On 15 February 2024 at 17:09, an incident occurred at Office - Admin Block. The incident was reported by Quinn Graham. Dakota Robinson from the Security department was involved. All grinder was used correctly during painting."
"Negative: untidy cables was observed but not corrected. On 18 June 2024 at 20:43, an incident occurred at Dockyard North. Charlie Payne from the Ship Maintenance department was involved. The incident was reported by Spencer Foster."
"The incident was reported by Quinn Clark. On 18 July 2025 at 10:55, an incident occurred at IT Server Room. All forklift was used correctly during painting. Quinn Allen from the Health & Safety department was involved."
"The incident was reported by Peyton Pearson. Scaffolders followed lockout/tagout without violations. Morgan Reed from the Quality Assurance department was involved. On 20 July 2024 at 01:53, an incident occurred at Fleet Garage."
"The incident was reported by Taylor Davis. Peyton Lee from the Health & Safety department was involved. Scaffolders followed confined space entry without violations. On 10 June 2024 at 01:50, an incident occurred at Fleet Garage."
"Negative: missing guardrails was observed but not corrected. Riley Murphy from the Engineering department was involved. The incident was reported by Spencer Walker. On 04 July 2024 at 12:18, an incident occurred at Training Room."
"Taylor Foster from the Finance department was involved. The incident was reported by Riley Reed. On 07 May 2024 at 02:33, an incident occurred at Dry Dock 1. Negative: blocked emergency exit was observed but not corrected."
"The incident was reported by Peyton West. Casey Morgan from the Training & Development department was involved. Negative: missing guardrails was observed but not corrected. On 29 December 2024 at 03:30, an incident occurred at Shipyard Pier."
"Alex Sullivan from the Health & Safety department was involved. The incident was reported by Charlie Walker. Negative: untidy cables was observed but not corrected. On 13 March 2024 at 20:04, an incident occurred at Shipyard Pier."
"Peyton Parker from the Health & Safety department was involved. On 23 January 2024 at 04:56, an incident occurred at Maintenance Shed. Welding team followed PPE guidelines without violations. The incident was reported by Dakota Lee."
"On 04 April 2024 at 07:33, an incident occurred at Fuel Depot. The incident was reported by Elliot Reed. Spencer Bailey from the Logistics department was involved. Paint crew followed PPE guidelines without violations."
"The incident was reported by Emerson Pearson. Negative: blocked emergency exit was observed but not corrected. On 02 December 2024 at 05:50, an incident occurred at Dry Dock 1. Kai Reed from the Dockyard Operations department was involved."
"Morgan Clark from the IT department was involved. On 22 March 2025 at 15:26, an incident occurred at Main Gate Security. Negative: blocked emergency exit was observed but not corrected. The incident was reported by Kai Graham."
"Blake Bailey from the HR department was involved. The incident was reported by Blake Cooper. Negative: missing guardrails was observed but not corrected. On 21 April 2025 at 18:36, an incident occurred at Fleet Garage."
"The incident was reported by Jesse Smith. Elliot Cooper from the Communications department was involved. On 07 September 2024 at 13:39, an incident occurred at IT Server Room. Paint crew followed PPE guidelines without violations."
"Logan Morgan from the HR department was involved. On 30 July 2025 at 21:12, an incident occurred at Shipyard Pier. The incident was reported by Quinn Mitchell. All forklift was used correctly during painting."
"The incident was reported by Emerson Brown. Paint crew followed lockout/tagout without violations. Drew Sullivan from the Finance department was involved. On 23 March 2025 at 14:19, an incident occurred at IT Server Room."
"Jamie Sullivan from the Engineering department was involved. The incident was reported by Riley Johnson. On 25 February 2024 at 15:29, an incident occurred at Fuel Depot. Welding team followed lockout/tagout without violations."
"The incident was reported by Reese Fisher. Taylor Sullivan from the Communications department was involved. All grinder was used correctly during painting. On 01 June 2024 at 12:45, an incident occurred at Warehouse A."
"Sawyer Morgan from the Finance department was involved. The incident was reported by Dakota Bennett. Negative: blocked emergency exit was observed but not corrected. On 19 May 2025 at 13:01, an incident occurred at Office - Admin Block."
"Scaffolders followed lockout/tagout without violations. The incident was reported by Riley Davis. Jamie Robinson from the Facilities department was involved. On 15 June 2024 at 05:54, an incident occurred at IT Server Room."
"All forklift was used correctly during painting. Frankie Murphy from the Communications department was involved. On 14 June 2024 at 19:32, an incident occurred at Engineering Workshop. The incident was reported by Blake Bennett."
"The incident was reported by Avery Clark. On 18 August 2025 at 15:03, an incident occurred at Fleet Garage. Negative: untidy cables was observed but not corrected. Alex Graham from the Logistics department was involved."
"Welding team followed confined space entry without violations. On 03 September 2025 at 15:55, an incident occurred at IT Server Room. Riley Murray from the Dockyard Operations department was involved. The incident was reported by Elliot Lee."
"Morgan Kennedy from the Warehouse department was involved. On 22 April 2025 at 06:28, an incident occurred at IT Server Room. Scaffolders followed lockout/tagout without violations. The incident was reported by Rowan Sullivan."
"On 07 January 2024 at 17:37, an incident occurred at Dry Dock 1. The incident was reported by Jordan Smith. Cameron Payne from the Quality Assurance department was involved. All forklift was used correctly during repairing the hull."
"The incident was reported by Elliot Parker. All grinder was used correctly during welding. Jordan Mitchell from the Legal department was involved. On 11 July 2024 at 21:42, an incident occurred at Engineering Workshop."
"Kai Fisher from the Warehouse department was involved. On 08 July 2024 at 15:40, an incident occurred at Office - Admin Block. The incident was reported by Riley Holmes. Negative: missing guardrails was observed but not corrected."
"The incident was reported by Casey Holmes. Scaffolders followed lockout/tagout without violations. Rowan Kennedy from the Quality Assurance department was involved. On 11 June 2025 at 00:48, an incident occurred at Cafeteria."
