reporter_name,person_involved,incident_date,incident_time,department,incident_description,location,label,was_injured,injury_description
Elliot Reed,Spencer Bailey,04 April 2024,07:33,Logistics,Paint crew followed PPE guidelines without violations.,Fuel Depot,Safety Observation,No,N/A
Emerson Pearson,Kai Reed,02 December 2024,05:50,Dockyard Operations,Negative: blocked emergency exit was observed but not corrected.,Dry Dock 1,Safety Observation,No,N/A
Kai Graham,Morgan Clark,22 March 2025,15:26,IT,Negative: blocked emergency exit was observed but not corrected.,Main Gate Security,Safety Observation,No,N/A
Blake Cooper,Blake Bailey,21 April 2025,18:36,HR,Negative: missing guardrails was observed but not corrected.,Fleet Garage,Safety Observation,No,N/A
Jesse Smith,Elliot Cooper,07 September 2024,13:39,Communications,Paint crew followed PPE guidelines without violations.,IT Server Room,Safety Observation,No,N/A
Quinn Mitchell,Logan Morgan,30 July 2025,21:12,HR,All forklift was used correctly during painting.,Shipyard Pier,Safety Observation,No,N/A
Emerson Brown,Drew Sullivan,23 March 2025,14:19,Finance,Paint crew followed lockout/tagout without violations.,IT Server Room,Safety Observation,No,N/A
Riley Johnson,Jamie Sullivan,25 February 2024,15:29,Engineering,Welding team followed lockout/tagout without violations.,Fuel Depot,Safety Observation,No,N/A
Reese Fisher,Taylor Sullivan,01 June 2024,12:45,Communications,All grinder was used correctly during painting.,Warehouse A,Safety Observation,No,N/A
Dakota Bennett,Sawyer Morgan,19 May 2025,13:01,Finance,Negative: blocked emergency exit was observed but not corrected.,Office - Admin Block,Safety Observation,No,N/A
Riley Davis,Jamie Robinson,15 June 2024,05:54,Facilities,Scaffolders followed lockout/tagout without violations.,IT Server Room,Safety Observation,No,N/A
Blake Bennett,Frankie Murphy,14 June 2024,19:32,Communications,All forklift was used correctly during painting.,Engineering Workshop,Safety Observation,No,N/A
Avery Clark,Alex Graham,18 August 2025,15:03,Logistics,Negative: untidy cables was observed but not corrected.,Fleet Garage,Safety Observation,No,N/A
Elliot Lee,Riley Murray,03 September 2025,15:55,Dockyard Operations,Welding team followed confined space entry without violations.,IT Server Room,Safety Observation,No,N/A
Rowan Sullivan,Morgan Kennedy,22 April 2025,06:28,Warehouse,Scaffolders followed lockout/tagout without violations.,IT Server Room,Safety Observation,No,N/A
Jordan Smith,Cameron Payne,07 January 2024,17:37,Quality Assurance,All forklift was used correctly during repairing the hull.,Dry Dock 1,Safety Observation,No,N/A
Elliot Parker,Jordan Mitchell,11 July 2024,21:42,Legal,All grinder was used correctly during welding.,Engineering Workshop,Safety Observation,No,N/A
Riley Holmes,Kai Fisher,08 July 2024,15:40,Warehouse,Negative: missing guardrails was observed but not corrected.,Office - Admin Block,Safety Observation,No,N/A
Casey Holmes,Rowan Kennedy,11 June 2025,00:48,Quality Assurance,Scaffolders followed lockout/tagout without violations.,Cafeteria,Safety Observation,No,N/A
Emerson Walker,Sydney Parker,18 March 2025,16:15,Health & Safety,Negative: untidy cables was observed but not corrected.,Fleet Garage,Safety Observation,No,N/A
Jesse Foster,Taylor Allen,08 April 2024,10:33,Finance,All grinder was used correctly during welding.,Fleet Garage,Safety Observation,No,N/A
Drew Davis,Finley Mitchell,20 April 2025,10:11,Training & Development,Negative: untidy cables was observed but not corrected.,Dry Dock 1,Safety Observation,No,N/A
Jordan Reed,Peyton Davis,24 April 2024,04:48,Environmental Services,Negative: untidy cables was observed but not corrected.,IT Server Room,Safety Observation,No,N/A
Frankie Foster,Charlie Parker,29 January 2025,07:10,Dockyard Operations,All crane was used correctly during painting.,Fuel Depot,Safety Observation,No,N/A
Charlie Lewis,Frankie Fisher,24 May 2024,22:10,Legal,All forklift was used correctly during painting.,Dry Dock 2,Safety Observation,No,N/A
Jamie Reed,Emerson Davis,03 February 2025,05:34,Fleet Management,Negative: blocked emergency exit was observed but not corrected.,Electrical Bay,Safety Observation,No,N/A
Elliot Allen,Alex Johnson,04 February 2025,23:37,Health & Safety,All grinder was used correctly during welding.,Reception Area,Safety Observation,No,N/A
Dakota Lee,Blake Brown,05 July 2024,12:58,Facilities,Negative: missing guardrails was observed but not corrected.,Electrical Bay,Safety Observation,No,N/A
Casey Johnson,Charlie Lee,04 May 2025,15:18,Procurement,Paint crew followed PPE guidelines without violations.,Cafeteria,Safety Observation,No,N/A
Blake Cooper,Jesse Lewis,24 December 2024,18:34,Facilities,Negative: blocked emergency exit was observed but not corrected.,Fuel Depot,Safety Observation,No,N/A
Alex Ward,Jordan Bailey,11 May 2024,19:50,Finance,All forklift was used correctly during welding.,Engineering Workshop,Safety Observation,No,N/A
Sydney Cooper,Casey Clark,30 December 2024,09:34,Operations,All grinder was used correctly during painting.,Tool Crib,Safety Observation,No,N/A
Finley Morgan,Rowan Holmes,04 June 2025,20:04,Communications,Welding team followed PPE guidelines without violations.,Dry Dock 1,Safety Observation,No,N/A
Taylor Mitchell,Riley Ward,02 July 2025,17:20,Quality Assurance,Welding team followed PPE guidelines without violations.,Dry Dock 1,Safety Observation,No,N/A
Dakota Bailey,Logan West,30 October 2024,04:59,Customer Service,Welding team followed lockout/tagout without violations.,Warehouse A,Safety Observation,No,N/A
Skyler Walker,Elliot Mitchell,15 January 2024,16:49,Warehouse,Negative: blocked emergency exit was observed but not corrected.,Dockyard North,Safety Observation,No,N/A
Spencer Murray,Alex West,01 May 2025,14:35,Fleet Management,All crane was used correctly during painting.,Cafeteria,Safety Observation,No,N/A
Rowan Graham,Elliot Johnson,10 May 2024,23:48,Ship Maintenance,All grinder was used correctly during welding.,Training Room,Safety Observation,No,N/A
Sydney Holmes,Avery Smith,13 December 2024,15:11,Warehouse,Scaffolders followed PPE guidelines without violations.,Warehouse B,Safety Observation,No,N/A
Harper Murray,Quinn Kennedy,30 March 2025,11:16,Quality Assurance,All forklift was used correctly during welding.,Maintenance Shed,Safety Observation,No,N/A
Kai Davis,Casey Murray,24 September 2024,12:15,Fleet Management,Paint crew followed lockout/tagout without violations.,Training Room,Safety Observation,No,N/A
Sawyer Pearson,Jamie Murphy,01 September 2024,20:58,Research & Development,Negative: missing guardrails was observed but not corrected.,Dry Dock 2,Safety Observation,No,N/A
Frankie Clark,Peyton Walker,11 July 2025,18:49,Environmental Services,All forklift was used correctly during repairing the hull.,Electrical Bay,Safety Observation,No,N/A
Harper Robinson,Rowan Hughes,06 March 2024,06:45,Procurement,All grinder was used correctly during welding.,Electrical Bay,Safety Observation,No,N/A
Elliot Murphy,Chris Hughes,26 February 2024,21:01,Finance,All crane was used correctly during welding.,Office - Admin Block,Safety Observation,No,N/A
Quinn West,Chris Morgan,27 November 2024,00:32,HR,Paint crew followed PPE guidelines without violations.,Tool Crib,Safety Observation,No,N/A
Kai Davis,Sydney Sullivan,13 September 2025,15:21,Fleet Management,Paint crew followed lockout/tagout without violations.,Dockyard North,Safety Observation,No,N/A
Casey Bennett,Chris Parker,24 June 2025,14:32,Research & Development,Negative: blocked emergency exit was observed but not corrected.,Maintenance Shed,Safety Observation,No,N/A
Jordan Johnson,Harper Graham,29 April 2024,12:55,Security,Paint crew followed lockout/tagout without violations.,Dry Dock 2,Safety Observation,No,N/A
Peyton Murray,Avery Kennedy,27 March 2024,14:11,Health & Safety,All forklift was used correctly during painting.,Warehouse A,Safety Observation,No,N/A
Chris Mitchell,Rowan Foster,06 January 2024,07:51,Communications,Negative: missing guardrails was observed but not corrected.,Warehouse B,Safety Observation,No,N/A
Morgan Walker,Morgan Bennett,10 May 2024,10:16,Finance,All crane was used correctly during painting.,IT Server Room,Safety Observation,No,N/A
Jesse Cooper,Alex West,08 April 2024,19:53,Communications,Negative: blocked emergency exit was observed but not corrected.,Fuel Depot,Safety Observation,No,N/A
Sydney Kennedy,Chris Graham,28 April 2025,09:57,Finance,Scaffolders followed PPE guidelines without violations.,Dry Dock 1,Safety Observation,No,N/A
Drew West,Skyler Parker,07 February 2025,19:35,Procurement,Paint crew followed confined space entry without violations.,Fuel Depot,Safety Observation,No,N/A
Blake Robinson,Casey Graham,09 September 2024,04:41,Facilities,All grinder was used correctly during welding.,Fuel Depot,Safety Observation,No,N/A
Dakota Lee,Finley Payne,18 March 2025,18:56,Environmental Services,Negative: blocked emergency exit was observed but not corrected.,Maintenance Shed,Safety Observation,No,N/A
Emerson Hughes,Jesse Robinson,05 December 2024,05:40,Legal,All forklift was used correctly during welding.,Electrical Bay,Safety Observation,No,N/A
Riley Davis,Logan West,15 September 2024,18:07,Warehouse,Negative: blocked emergency exit was observed but not corrected.,Paint Shop,Safety Observation,No,N/A
Elliot Payne,Sydney Payne,31 March 2025,17:40,Ship Maintenance,Welding team followed lockout/tagout without violations.,Electrical Bay,Safety Observation,No,N/A
Casey Morgan,Harper West,02 October 2024,11:42,IT,Negative: untidy cables was observed but not corrected.,Fuel Depot,Safety Observation,No,N/A
Quinn Lee,Sawyer Clark,24 April 2025,17:30,Procurement,Negative: blocked emergency exit was observed but not corrected.,Maintenance Shed,Safety Observation,No,N/A
Avery Parker,Blake Graham,27 July 2024,12:32,Operations,All crane was used correctly during welding.,Warehouse A,Safety Observation,No,N/A
Jordan Pearson,Elliot Cooper,01 July 2025,07:38,Ship Maintenance,Negative: untidy cables was observed but not corrected.,Electrical Bay,Safety Observation,No,N/A
Skyler Murphy,Avery Kennedy,07 June 2025,18:11,Facilities,All crane was used correctly during painting.,Paint Shop,Safety Observation,No,N/A
Quinn Allen,Blake Bailey,31 December 2024,04:51,Operations,Paint crew followed lockout/tagout without violations.,Dry Dock 2,Safety Observation,No,N/A
Rowan Davis,Harper Smith,23 March 2025,08:34,Health & Safety,Paint crew followed confined space entry without violations.,Warehouse A,Safety Observation,No,N/A
Cameron West,Alex Holmes,24 August 2024,08:17,IT,Paint crew followed PPE guidelines without violations.,Dry Dock 2,Safety Observation,No,N/A
Jamie Johnson,Jamie Graham,16 September 2025,23:07,Research & Development,Negative: missing guardrails was observed but not corrected.,Cafeteria,Safety Observation,No,N/A
Avery Hughes,Quinn Hughes,22 February 2025,17:07,Facilities,Welding team followed confined space entry without violations.,Main Gate Security,Safety Observation,No,N/A
Kai Graham,Alex Murphy,29 January 2025,14:31,Environmental Services,Scaffolders followed PPE guidelines without violations.,Paint Shop,Safety Observation,No,N/A
Quinn Foster,Peyton Sullivan,12 January 2024,00:39,Dockyard Operations,Negative: untidy cables was observed but not corrected.,Dry Dock 1,Safety Observation,No,N/A
Elliot Fisher,Casey Allen,28 December 2024,05:24,HR,Scaffolders followed lockout/tagout without violations.,Reception Area,Safety Observation,No,N/A
Jordan Fisher,Finley Smith,30 October 2024,06:41,Security,Paint crew followed PPE guidelines without violations.,Electrical Bay,Safety Observation,No,N/A
Logan Allen,Jesse Pearson,29 June 2025,23:31,Security,All crane was used correctly during welding.,Dry Dock 1,Safety Observation,No,N/A
Frankie Clark,Kai Hughes,06 July 2025,21:20,Warehouse,Negative: missing guardrails was observed but not corrected.,Main Gate Security,Safety Observation,No,N/A
Cameron Hughes,Sawyer Hughes,29 May 2024,12:11,Engineering,Paint crew followed PPE guidelines without violations.,Engineering Workshop,Safety Observation,No,N/A
Chris Holmes,Alex Graham,29 June 2025,06:22,Warehouse,All grinder was used correctly during painting.,Reception Area,Safety Observation,No,N/A
Sawyer Bennett,Kai Bailey,03 May 2024,12:43,Procurement,Negative: missing guardrails was observed but not corrected.,Electrical Bay,Safety Observation,No,N/A
Drew Holmes,Blake Parker,07 August 2024,22:30,Legal,Negative: untidy cables was observed but not corrected.,Fuel Depot,Safety Observation,No,N/A
Logan Kennedy,Elliot Clark,14 January 2024,18:21,Environmental Services,Paint crew followed lockout/tagout without violations.,Training Room,Safety Observation,No,N/A
Drew Walker,Avery Brown,06 June 2024,18:09,Finance,All grinder was used correctly during repairing the hull.,Fuel Depot,Safety Observation,No,N/A
Drew Smith,Jamie Graham,27 August 2025,07:35,Health & Safety,All crane was used correctly during welding.,Electrical Bay,Safety Observation,No,N/A
Skyler Brown,Peyton Fisher,07 September 2025,16:29,Fleet Management,All forklift was used correctly during painting.,Main Gate Security,Safety Observation,No,N/A
Peyton Murphy,Kai Kennedy,29 May 2024,08:24,HR,Negative: untidy cables was observed but not corrected.,Cafeteria,Safety Observation,No,N/A
Frankie Payne,Peyton Murphy,08 May 2025,22:48,Health & Safety,All forklift was used correctly during painting.,Office - Admin Block,Safety Observation,No,N/A
Sawyer Robinson,Casey Lee,19 May 2024,02:32,Facilities,Negative: blocked emergency exit was observed but not corrected.,Maintenance Shed,Safety Observation,No,N/A
Skyler Brown,Sawyer Reed,19 September 2024,10:05,Security,Paint crew followed PPE guidelines without violations.,Dry Dock 1,Safety Observation,No,N/A
Rowan Morgan,Riley Davis,26 April 2025,05:40,Engineering,Negative: untidy cables was observed but not corrected.,Tool Crib,Safety Observation,No,N/A
Jamie Murphy,Logan Hughes,24 December 2024,07:26,Security,All crane was used correctly during repairing the hull.,Warehouse B,Safety Observation,No,N/A
Taylor Walker,Morgan Hughes,29 January 2025,22:34,Logistics,All grinder was used correctly during painting.,Warehouse B,Safety Observation,No,N/A
Cameron Lee,Drew Parker,02 March 2024,10:46,Engineering,Paint crew followed lockout/tagout without violations.,Tool Crib,Safety Observation,No,N/A
Logan Murphy,Charlie West,12 January 2024,09:10,Finance,All forklift was used correctly during repairing the hull.,Electrical Bay,Safety Observation,No,N/A
Riley Sullivan,Skyler Fisher,28 January 2025,08:26,Warehouse,All crane was used correctly during repairing the hull.,Dry Dock 1,Safety Observation,No,N/A
Spencer Robinson,Casey Davis,07 September 2025,21:56,Dockyard Operations,Negative: blocked emergency exit was observed but not corrected.,Dry Dock 2,Safety Observation,No,N/A
Alex Kennedy,Dakota Hughes,02 July 2024,17:04,Engineering,Welding team followed lockout/tagout without violations.,Paint Shop,Safety Observation,No,N/A
Finley Morgan,Charlie Clark,29 April 2024,13:45,Dockyard Operations,All crane was used correctly during painting.,Electrical Bay,Safety Observation,No,N/A
Alex Lewis,Casey Bailey,22 August 2025,10:51,Legal,Welding team followed PPE guidelines without violations.,Fuel Depot,Safety Observation,No,N/A
Spencer Sullivan,Harper Lewis,05 September 2025,11:03,Dockyard Operations,All forklift was used correctly during welding.,Training Room,Safety Observation,No,N/A
Reese Bennett,Reese Pearson,15 August 2024,21:19,IT,Welding team followed lockout/tagout without violations.,Dockyard North,Safety Observation,No,N/A
Jordan Smith,Chris Sullivan,07 February 2024,11:17,Security,Welding team followed lockout/tagout without violations.,Dry Dock 1,Safety Observation,No,N/A
Riley Bailey,Morgan Holmes,11 January 2025,17:19,Ship Maintenance,All crane was used correctly during welding.,Maintenance Shed,Safety Observation,No,N/A
Frankie Cooper,Sawyer Johnson,18 January 2025,16:12,Fleet Management,All crane was used correctly during repairing the hull.,Fuel Depot,Safety Observation,No,N/A
Logan Bennett,Dakota Brown,09 April 2025,18:06,Quality Assurance,Paint crew followed lockout/tagout without violations.,Reception Area,Safety Observation,No,N/A
Sydney Clark,Riley Payne,18 February 2024,06:25,Fleet Management,Scaffolders followed lockout/tagout without violations.,Warehouse B,Safety Observation,No,N/A
Rowan Davis,Alex Smith,23 November 2024,14:13,Logistics,Negative: missing guardrails was observed but not corrected.,Dry Dock 1,Safety Observation,No,N/A
Charlie Graham,Charlie Kennedy,20 February 2025,01:32,Finance,Welding team followed PPE guidelines without violations.,IT Server Room,Safety Observation,No,N/A
Jesse Foster,Finley Payne,29 August 2025,08:44,Environmental Services,Welding team followed lockout/tagout without violations.,Warehouse B,Safety Observation,No,N/A
Morgan Bennett,Drew Payne,02 September 2025,14:57,Training & Development,All forklift was used correctly during painting.,Main Gate Security,Safety Observation,No,N/A
Jordan Reed,Spencer Walker,24 April 2025,12:11,Fleet Management,Negative: blocked emergency exit was observed but not corrected.,Main Gate Security,Safety Observation,No,N/A
Cameron Lewis,Cameron Brown,24 December 2024,00:58,Fleet Management,All crane was used correctly during painting.,Warehouse B,Safety Observation,No,N/A
Charlie Morgan,Blake Fisher,19 May 2024,08:25,Facilities,Scaffolders followed PPE guidelines without violations.,Maintenance Shed,Safety Observation,No,N/A
Chris Cooper,Skyler Graham,11 April 2025,23:57,Facilities,Welding team followed confined space entry without violations.,Training Room,Safety Observation,No,N/A
Riley Sullivan,Emerson Bennett,08 April 2025,02:12,Communications,Scaffolders followed lockout/tagout without violations.,Tool Crib,Safety Observation,No,N/A
Kai Bennett,Rowan Allen,19 February 2024,11:04,Training & Development,All crane was used correctly during repairing the hull.,Tool Crib,Safety Observation,No,N/A
Riley Sullivan,Jesse Cooper,25 November 2024,13:16,Engineering,Negative: missing guardrails was observed but not corrected.,Dockyard South,Safety Observation,No,N/A
Harper Reed,Blake Mitchell,06 May 2024,13:55,Procurement,All crane was used correctly during welding.,Electrical Bay,Safety Observation,No,N/A
Logan Parker,Jordan Allen,15 January 2024,15:06,Communications,Welding team followed lockout/tagout without violations.,Shipyard Pier,Safety Observation,No,N/A
Spencer Cooper,Sawyer Clark,03 February 2024,09:04,HR,Negative: missing guardrails was observed but not corrected.,Fleet Garage,Safety Observation,No,N/A
Riley Lewis,Frankie Pearson,04 April 2024,10:36,IT,Negative: blocked emergency exit was observed but not corrected.,Office - Admin Block,Safety Observation,No,N/A
Skyler Davis,Dakota Ward,15 April 2024,03:26,Research & Development,Scaffolders followed PPE guidelines without violations.,Dry Dock 2,Safety Observation,No,N/A
Drew Johnson,Quinn Mitchell,10 March 2025,20:43,Customer Service,Welding team followed lockout/tagout without violations.,Engineering Workshop,Safety Observation,No,N/A
Quinn Reed,Kai Brown,14 April 2025,23:24,Environmental Services,Negative: untidy cables was observed but not corrected.,Reception Area,Safety Observation,No,N/A
Riley Allen,Jordan West,12 January 2025,02:54,Customer Service,Paint crew followed confined space entry without violations.,IT Server Room,Safety Observation,No,N/A
Chris Holmes,Riley Reed,29 January 2024,19:54,Procurement,Paint crew followed PPE guidelines without violations.,Engineering Workshop,Safety Observation,No,N/A
Sawyer Mitchell,Riley Cooper,10 June 2024,20:54,Operations,Negative: missing guardrails was observed but not corrected.,Warehouse A,Safety Observation,No,N/A
Blake Reed,Blake Pearson,25 March 2025,23:45,Quality Assurance,Paint crew followed confined space entry without violations.,Dockyard North,Safety Observation,No,N/A
Jordan Murphy,Avery Murphy,24 November 2024,10:46,Training & Development,Negative: untidy cables was observed but not corrected.,Cafeteria,Safety Observation,No,N/A
Jamie Bennett,Taylor Bennett,11 July 2024,21:28,Operations,Negative: missing guardrails was observed but not corrected.,Dockyard North,Safety Observation,No,N/A
Riley Clark,Blake West,11 October 2024,07:10,Fleet Management,Welding team followed confined space entry without violations.,Cafeteria,Safety Observation,No,N/A
Taylor Parker,Blake West,25 April 2025,14:27,HR,All crane was used correctly during painting.,Dry Dock 1,Safety Observation,No,N/A
Avery Clark,Frankie Mitchell,02 May 2025,05:39,Customer Service,Welding team followed lockout/tagout without violations.,Reception Area,Safety Observation,No,N/A
Alex Foster,Finley Ward,06 June 2024,04:33,Finance,Negative: blocked emergency exit was observed but not corrected.,Electrical Bay,Safety Observation,No,N/A
Charlie Ward,Sydney Mitchell,13 February 2025,07:14,Environmental Services,Paint crew followed PPE guidelines without violations.,Reception Area,Safety Observation,No,N/A
Taylor Holmes,Jesse Robinson,09 March 2025,22:41,Security,Welding team followed confined space entry without violations.,Dry Dock 1,Safety Observation,No,N/A
Quinn Johnson,Harper Brown,29 March 2025,01:48,Legal,All crane was used correctly during painting.,Warehouse A,Safety Observation,No,N/A
Elliot West,Skyler Murray,06 July 2024,06:27,Communications,All crane was used correctly during repairing the hull.,Tool Crib,Safety Observation,No,N/A
Jesse Payne,Finley Morgan,10 March 2024,06:45,Operations,Negative: untidy cables was observed but not corrected.,Electrical Bay,Safety Observation,No,N/A
Chris Pearson,Reese Bailey,08 September 2024,22:50,Procurement,All crane was used correctly during welding.,Paint Shop,Safety Observation,No,N/A
Spencer Payne,Rowan Lewis,19 August 2025,21:36,Operations,All crane was used correctly during repairing the hull.,Shipyard Pier,Safety Observation,No,N/A
Quinn Payne,Elliot Clark,29 July 2025,10:00,HR,Welding team followed confined space entry without violations.,Dry Dock 2,Safety Observation,No,N/A
Sawyer Parker,Sydney Murray,24 October 2024,06:57,Research & Development,Negative: missing guardrails was observed but not corrected.,Maintenance Shed,Safety Observation,No,N/A
Finley Johnson,Emerson Parker,21 December 2024,10:29,Environmental Services,Welding team followed PPE guidelines without violations.,Electrical Bay,Safety Observation,No,N/A
Jesse Mitchell,Finley Allen,13 January 2025,09:53,Security,Negative: untidy cables was observed but not corrected.,Dockyard South,Safety Observation,No,N/A
Kai Graham,Jesse Clark,01 January 2024,07:14,Ship Maintenance,All forklift was used correctly during repairing the hull.,Main Gate Security,Safety Observation,No,N/A
Avery Payne,Blake Payne,07 February 2025,13:51,Legal,Negative: missing guardrails was observed but not corrected.,Dockyard North,Safety Observation,No,N/A
Logan Murray,Jamie Lewis,12 May 2025,06:46,Quality Assurance,Scaffolders followed confined space entry without violations.,Maintenance Shed,Safety Observation,No,N/A
Casey Davis,Logan Murray,31 March 2024,01:47,Customer Service,Negative: untidy cables was observed but not corrected.,Dockyard South,Safety Observation,No,N/A
Jordan Bennett,Logan Lewis,26 January 2025,05:22,Facilities,Scaffolders followed confined space entry without violations.,Dry Dock 1,Safety Observation,No,N/A
Blake Johnson,Jordan Kennedy,31 May 2024,08:25,Warehouse,Paint crew followed lockout/tagout without violations.,Warehouse A,Safety Observation,No,N/A
Frankie Foster,Elliot Brown,08 March 2025,19:15,Logistics,Negative: blocked emergency exit was observed but not corrected.,Reception Area,Safety Observation,No,N/A
Peyton Bailey,Casey Graham,12 May 2024,14:32,Customer Service,Negative: missing guardrails was observed but not corrected.,Cafeteria,Safety Observation,No,N/A
Harper Smith,Harper Johnson,04 February 2025,03:22,Fleet Management,Negative: untidy cables was observed but not corrected.,Training Room,Safety Observation,No,N/A
Emerson Mitchell,Skyler Bailey,14 February 2025,01:40,Security,Scaffolders followed lockout/tagout without violations.,Dockyard South,Safety Observation,No,N/A
Casey Murphy,Sydney Sullivan,12 June 2024,20:23,Research & Development,Negative: missing guardrails was observed but not corrected.,Cafeteria,Safety Observation,No,N/A
Jamie West,Kai Robinson,09 March 2024,10:30,Training & Development,Welding team followed confined space entry without violations.,Dockyard South,Safety Observation,No,N/A
Skyler Reed,Blake Payne,03 March 2024,16:10,Training & Development,Negative: missing guardrails was observed but not corrected.,IT Server Room,Safety Observation,No,N/A
Elliot Murphy,Charlie Reed,23 February 2024,16:52,Warehouse,Negative: blocked emergency exit was observed but not corrected.,Dockyard South,Safety Observation,No,N/A
Jesse West,Cameron Morgan,03 February 2025,08:30,Facilities,All forklift was used correctly during repairing the hull.,Dockyard South,Safety Observation,No,N/A
Jordan Bennett,Quinn Morgan,02 October 2024,02:36,HR,All crane was used correctly during painting.,Training Room,Safety Observation,No,N/A
Jesse Cooper,Reese Mitchell,13 October 2024,00:19,IT,All grinder was used correctly during painting.,Fleet Garage,Safety Observation,No,N/A
Blake Lee,Harper Brown,15 June 2025,07:42,Ship Maintenance,All crane was used correctly during painting.,Electrical Bay,Safety Observation,No,N/A
Morgan Murphy,Jesse Fisher,23 October 2024,23:07,Environmental Services,Paint crew followed confined space entry without violations.,Dry Dock 1,Safety Observation,No,N/A
Drew Holmes,Harper Payne,16 May 2024,15:40,Dockyard Operations,All crane was used correctly during repairing the hull.,Electrical Bay,Safety Observation,No,N/A
Jesse Clark,Casey Reed,24 August 2024,09:18,Engineering,Scaffolders followed confined space entry without violations.,Office - Admin Block,Safety Observation,No,N/A
Cameron Pearson,Kai Murphy,29 September 2024,18:51,Security,All crane was used correctly during welding.,Dockyard North,Safety Observation,No,N/A
Reese Morgan,Harper Lewis,24 April 2024,17:59,IT,All crane was used correctly during repairing the hull.,Fleet Garage,Safety Observation,No,N/A
Jamie West,Drew Kennedy,12 August 2024,09:18,Logistics,Scaffolders followed PPE guidelines without violations.,Reception Area,Safety Observation,No,N/A
Skyler Murray,Elliot Sullivan,27 January 2025,21:20,Engineering,Negative: untidy cables was observed but not corrected.,Shipyard Pier,Safety Observation,No,N/A
Kai Bailey,Avery Cooper,18 January 2024,01:53,Dockyard Operations,Negative: missing guardrails was observed but not corrected.,Dry Dock 2,Safety Observation,No,N/A
Sydney Brown,Sydney Mitchell,15 July 2025,10:57,Facilities,Negative: missing guardrails was observed but not corrected.,Dry Dock 2,Safety Observation,No,N/A
Dakota Murphy,Drew Parker,25 August 2024,02:13,Quality Assurance,All grinder was used correctly during painting.,Office - Admin Block,Safety Observation,No,N/A
Spencer Sullivan,Taylor Johnson,03 November 2024,01:15,Environmental Services,Negative: missing guardrails was observed but not corrected.,Engineering Workshop,Safety Observation,No,N/A
Skyler Johnson,Elliot Robinson,06 June 2025,22:22,Finance,All grinder was used correctly during welding.,Warehouse A,Safety Observation,No,N/A
Elliot Foster,Sydney Robinson,06 September 2025,15:06,Research & Development,Negative: blocked emergency exit was observed but not corrected.,Fleet Garage,Safety Observation,No,N/A
Alex Bailey,Sawyer Murray,09 June 2025,12:29,Security,Paint crew followed PPE guidelines without violations.,IT Server Room,Safety Observation,No,N/A
Spencer Allen,Peyton Foster,24 October 2024,06:51,Warehouse,Negative: untidy cables was observed but not corrected.,Maintenance Shed,Safety Observation,No,N/A
Jordan Davis,Spencer Foster,22 January 2025,03:19,Quality Assurance,All crane was used correctly during painting.,Tool Crib,Safety Observation,No,N/A
Kai Johnson,Peyton Mitchell,09 July 2025,08:33,Communications,All crane was used correctly during repairing the hull.,Dry Dock 2,Safety Observation,No,N/A
Reese Holmes,Blake Morgan,05 April 2024,11:07,HR,Negative: missing guardrails was observed but not corrected.,Paint Shop,Safety Observation,No,N/A
Chris Walker,Elliot Ward,27 May 2025,12:43,Logistics,All crane was used correctly during repairing the hull.,Dry Dock 2,Safety Observation,No,N/A
Reese Lewis,Jordan Lee,15 February 2025,10:52,Fleet Management,Negative: untidy cables was observed but not corrected.,Paint Shop,Safety Observation,No,N/A
Drew Robinson,Reese Johnson,12 November 2024,13:48,Quality Assurance,All crane was used correctly during painting.,Main Gate Security,Safety Observation,No,N/A
Drew Kennedy,Logan Hughes,27 July 2024,01:38,Ship Maintenance,Negative: untidy cables was observed but not corrected.,Shipyard Pier,Safety Observation,No,N/A
Alex Ward,Blake Davis,03 January 2025,11:56,Training & Development,All grinder was used correctly during painting.,Training Room,Safety Observation,No,N/A
Drew Lewis,Jamie Bennett,26 September 2024,18:13,Dockyard Operations,All forklift was used correctly during repairing the hull.,Cafeteria,Safety Observation,No,N/A
Casey Smith,Charlie Cooper,18 March 2024,05:19,Communications,Welding team followed PPE guidelines without violations.,Dockyard North,Safety Observation,No,N/A
Quinn Robinson,Morgan Payne,06 June 2025,20:28,HR,Welding team followed confined space entry without violations.,Fleet Garage,Safety Observation,No,N/A
Chris West,Charlie Davis,05 August 2024,16:09,Warehouse,Negative: untidy cables was observed but not corrected.,Dry Dock 1,Safety Observation,No,N/A
Kai Hughes,Sydney Bennett,18 December 2024,04:52,Logistics,Negative: blocked emergency exit was observed but not corrected.,IT Server Room,Safety Observation,No,N/A
Sawyer Clark,Blake Mitchell,01 January 2024,03:13,Facilities,Negative: missing guardrails was observed but not corrected.,Training Room,Safety Observation,No,N/A
Taylor Sullivan,Riley Davis,30 September 2024,10:18,Ship Maintenance,Welding team followed lockout/tagout without violations.,Warehouse B,Safety Observation,No,N/A
Morgan Graham,Jesse Fisher,30 December 2024,02:48,Training & Development,Paint crew followed confined space entry without violations.,Dockyard South,Safety Observation,No,N/A
Spencer Graham,Spencer Davis,05 March 2024,11:27,HR,All grinder was used correctly during painting.,Office - Admin Block,Safety Observation,No,N/A
Casey Murray,Finley Cooper,23 February 2025,04:37,Quality Assurance,Negative: blocked emergency exit was observed but not corrected.,Dry Dock 2,Safety Observation,No,N/A
